,Episode Length,Episode Length (seconds),Cumulative Pairwise Action Distance
718,121,3.0250000000000004,2.775511209927288
719,95,2.375,0.7824071116752264
720,49,1.225,0.4671695494937124
721,143,3.575,7.497232562964286
722,140,3.5,5.16341731133362
723,118,2.95,8.827844219143188
724,123,3.075,5.287191970310525
725,162,4.05,11.78936055555724
726,75,1.875,2.541703127529055
727,141,3.5250000000000004,7.751780002949568
728,43,1.075,0.20668922292543448
729,145,3.625,6.375783167002168
730,149,3.725,7.818512531968021
731,181,4.525,13.883378007040603
732,84,2.1,2.061527570121619
733,174,4.3500000000000005,9.779116340686375
734,108,2.7,5.751695393627754
735,151,3.7750000000000004,7.855119277185666
736,166,4.15,12.000115939978768
737,102,2.5500000000000003,4.007368588889143
738,99,2.475,5.978387054015401
739,206,5.15,8.53027591711837
740,82,2.0500000000000003,3.5336723304534963
741,169,4.2250000000000005,6.575577045464051
742,181,4.525,12.08377883013507
743,97,2.4250000000000003,4.254428269058412
744,168,4.2,9.61616108223087
745,62,1.55,0.6516944190186172
746,174,4.3500000000000005,11.252324987345439
747,170,4.25,13.734271107941888
748,101,2.5250000000000004,3.675489187487983
749,176,4.4,7.84771912430521
750,115,2.875,7.048564377888698
751,106,2.6500000000000004,5.240544283931646
752,161,4.025,9.440505587498123
753,170,4.25,14.635059343545626
754,67,1.675,0.633374045245856
755,126,3.1500000000000004,7.5755353679591275
756,94,2.35,3.9391472117168203
757,80,2.0,4.3464186862319165
758,132,3.3000000000000003,5.856746105872866
759,65,1.625,1.5646301843020831
760,168,4.2,10.719693627458579
761,218,5.45,8.127754809201855
762,139,3.475,7.852129060602788
763,119,2.975,4.999705375597041
764,146,3.6500000000000004,8.924899958482102
765,199,4.9750000000000005,7.858193848625823
766,108,2.7,5.518353161037839
767,136,3.4000000000000004,6.850135384202966
768,125,3.125,6.885119052553183
769,214,5.3500000000000005,7.596491190906343
770,153,3.825,9.720004332566486
771,160,4.0,10.08434019610691
772,77,1.925,2.17867363782143
773,135,3.375,7.503131367157337
